Performing system checks...

System check identified no issues (0 silenced).
November 02, 2023 - 02:06:01
Django version 4.2.6, using settings 'mysite.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

venta ejecutada - TK: 15147.75
compra ejecutada - Precio: 15141.75
compra ejecutada - SL: 15137.25
compra ejecutada - TK: 15146.25
venta ejecutada - Precio: 15170.0
venta ejecutada - SL: 15176.5
venta ejecutada - TK: 15163.5
venta ejecutada - Precio: 15115.75
venta ejecutada - SL: 15126.25
venta ejecutada - TK: 15105.25
compra ejecutada - Precio: 15074.75
compra ejecutada - SL: 15072.25
compra ejecutada - TK: 15077.25
compra ejecutada - Precio: 15071.0
compra ejecutada - SL: 15065.0
compra ejecutada - TK: 15077.0
compra ejecutada - Precio: 15072.25
compra ejecutada - SL: 15062.75
compra ejecutada - TK: 15081.75
venta ejecutada - Precio: 15104.5
venta ejecutada - SL: 15110.5
venta ejecutada - TK: 15098.5
venta ejecutada - Precio: 15115.75
venta ejecutada - SL: 15126.0
venta ejecutada - TK: 15105.5
venta ejecutada - Precio: 15130.0
venta ejecutada - SL: 15131.75
venta ejecutada - TK: 15128.25
venta ejecutada - Precio: 15133.75
venta ejecutada - SL: 15136.5
venta ejecutada - TK: 15131.0
venta ejecutada - Precio: 15134.5
venta ejecutada - SL: 15147.0
venta ejecutada - TK: 15122.0
venta ejecutada - Precio: 15154.25
venta ejecutada - SL: 15159.75
venta ejecutada - TK: 15148.75
compra ejecutada - Precio: 15146.75
compra ejecutada - SL: 15140.5
compra ejecutada - TK: 15153.0
compra ejecutada - Precio: 15145.75
compra ejecutada - SL: 15137.5
compra ejecutada - TK: 15154.0
venta ejecutada - Precio: 15169.25
venta ejecutada - SL: 15181.5
venta ejecutada - TK: 15157.0
compra ejecutada - Precio: 15149.0
compra ejecutada - SL: 15146.0
compra ejecutada - TK: 15152.0
venta ejecutada - Precio: 15157.25
venta ejecutada - SL: 15161.0
venta ejecutada - TK: 15153.5
venta ejecutada - Precio: 15157.25
venta ejecutada - SL: 15167.5
venta ejecutada - TK: 15147.0
compra ejecutada - Precio: 15151.5
compra ejecutada - SL: 15146.5
compra ejecutada - TK: 15156.5
compra ejecutada - Precio: 15148.0
compra ejecutada - SL: 15138.75
compra ejecutada - TK: 15157.25
