2992023 145700;14844.75;14852;14843.25;14846.5;693
2992023 145600;14841;14847;14839;14845;732
2992023 145500;14852;14857;14840;14840.75;1273
2992023 145400;14836;14852;14835.25;14852;985
2992023 145300;14841.25;14845.5;14835;14835.75;874
2992023 145200;14845;14849;14840.75;14841.5;640
2992023 145100;14845.5;14850;14839.75;14844;949
2992023 145000;14854;14855.25;14838.75;14845.5;1527
2992023 144900;14859.5;14860.25;14850.25;14853.5;1506
2992023 144800;14866.25;14868;14859.5;14859.75;471
2992023 144700;14859.5;14867.25;14856;14866.5;718
2992023 144600;14864.75;14869.5;14857.75;14860.25;678
2992023 144500;14868.5;14872.25;14863.25;14865;577
2992023 144400;14868.75;14873;14867;14868.5;962
2992023 144300;14858.5;14869;14858.25;14868.75;687
2992023 144200;14854.25;14866.75;14854;14858.25;717
2992023 144100;14860.25;14862.25;14853.25;14854.5;467
2992023 144000;14856.5;14864;14854.5;14861;497
2992023 143900;14858.5;14864.75;14855.75;14856.75;600
2992023 143800;14855;14861.25;14852.5;14858.25;723
2992023 143700;14866.5;14867.75;14855;14855;636
2992023 143600;14857.75;14867;14855.5;14866.75;737
2992023 143500;14854.75;14859.75;14852;14858.5;1156
2992023 143400;14866.5;14868.75;14854;14854.75;1205
2992023 143300;14871.5;14871.75;14864.75;14866.75;922
2992023 143200;14866.25;14873;14863;14871;1004
2992023 143100;14865.75;14868.75;14861;14866.5;1079
2992023 143000;14861;14866;14859;14865.5;563
2992023 142900;14865.75;14867;14856;14861.25;986
2992023 142800;14863.75;14866.25;14859;14865.25;1205
2992023 142700;14848.75;14864.25;14848.75;14863.75;1504
2992023 142600;14844.5;14855.25;14843.5;14849.25;1114
2992023 142500;14845.5;14847.75;14842.5;14844.25;576
2992023 142400;14847.25;14848.75;14839.5;14846;981
2992023 142300;14848.75;14856.75;14844;14847.25;1579
2992023 142200;14850;14850.5;14841.75;14848.75;1362
2992023 142100;14840;14851;14838.25;14850.25;1581
2992023 142000;14830;14844;14829.75;14839.75;1164
2992023 141900;14840.5;14840.5;14827;14828.75;1441
2992023 141800;14839;14845;14836.5;14840.75;1093
2992023 141700;14835.75;14843.25;14833;14838.75;1249
2992023 141600;14843.5;14845.5;14834.75;14836;1388
2992023 141500;14840;14846.25;14837.25;14843.25;1064
2992023 141400;14847.75;14848;14838;14840.5;1206
2992023 141300;14851.75;14852.25;14842.75;14848.5;1239
2992023 141200;14851;14856.75;14849;14852.5;1092
2992023 141100;14849.25;14855.75;14848;14851;884
2992023 141000;14847.5;14855.75;14846.5;14849;1246
2992023 140900;14847.75;14850;14839.25;14848;1651
2992023 140800;14849;14854.5;14846;14848;1296
2992023 140700;14855;14856.25;14847;14849;2180
2992023 140600;14869.25;14870.25;14854.25;14854.75;1437
2992023 140500;14865.25;14871.75;14864.75;14869;970
2992023 140400;14867;14872.5;14861.25;14865;1247
2992023 140300;14872.25;14872.5;14860;14867;2557
2992023 140200;14881;14884.75;14868.25;14872.5;2444
2992023 140100;14896;14896;14879;14881;1522
2992023 140000;14891;14897;14890.25;14895.5;857
2992023 135900;14895.5;14899;14888.25;14891;983
2992023 135800;14895.75;14899.25;14894.25;14895;882
2992023 135700;14889.75;14897.5;14886.5;14896.25;934
2992023 135600;14887;14895;14886.25;14889.25;1031
2992023 135500;14895.25;14896.75;14885.5;14886.5;1154
2992023 135400;14890;14897.75;14889;14894.75;1139
2992023 135300;14905;14905.5;14889;14889.5;1619
2992023 135200;14904;14908.5;14897;14905.25;1307
2992023 135100;14907.75;14911.5;14903;14903.75;963
2992023 135000;14900.25;14908.25;14898.75;14907.5;1372
2992023 134900;14924;14924;14898.75;14900.25;2593
2992023 134800;14936.75;14936.75;14916.75;14924;1808
2992023 134700;14930.25;14942.75;14930.25;14936.75;871
2992023 134600;14926.5;14939.25;14924.5;14929.75;1408
